Waf: Entering directory `/home/wlyu/repos/ns-3-allinone/ns-3-dev/build'
Waf: Leaving directory `/home/wlyu/repos/ns-3-allinone/ns-3-dev/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.905s)
Sink 0	TotalRx: 1.61229Mb	Goodput: 0.0268715Mbps
Sink 1	TotalRx: 1.57798Mb	Goodput: 0.0262997Mbps
Sink 2	TotalRx: 1.5008Mb	Goodput: 0.0250133Mbps
Sink 3	TotalRx: 1.62944Mb	Goodput: 0.0271573Mbps
Sink 4	TotalRx: 1.69805Mb	Goodput: 0.0283008Mbps
Sink 5	TotalRx: 1.62515Mb	Goodput: 0.0270859Mbps
Sink 6	TotalRx: 1.65517Mb	Goodput: 0.0275861Mbps
Sink 7	TotalRx: 1.7152Mb	Goodput: 0.0285867Mbps
Sink 8	TotalRx: 1.69805Mb	Goodput: 0.0283008Mbps
Sink 9	TotalRx: 1.69805Mb	Goodput: 0.0283008Mbps
Sink 10	TotalRx: 1.59942Mb	Goodput: 0.0266571Mbps
Sink 11	TotalRx: 1.62515Mb	Goodput: 0.0270859Mbps
Sink 12	TotalRx: 1.67232Mb	Goodput: 0.027872Mbps
Sink 13	TotalRx: 1.67232Mb	Goodput: 0.027872Mbps
Sink 14	TotalRx: 1.63373Mb	Goodput: 0.0272288Mbps
Sink 15	TotalRx: 1.69805Mb	Goodput: 0.0283008Mbps
Sink 16	TotalRx: 1.69805Mb	Goodput: 0.0283008Mbps
Sink 17	TotalRx: 1.69805Mb	Goodput: 0.0283008Mbps
Sink 18	TotalRx: 1.6809Mb	Goodput: 0.0280149Mbps
Sink 19	TotalRx: 1.6809Mb	Goodput: 0.0280149Mbps
Sink 20	TotalRx: 1.6809Mb	Goodput: 0.0280149Mbps
Sink 21	TotalRx: 1.59085Mb	Goodput: 0.0265141Mbps
Sink 22	TotalRx: 1.53082Mb	Goodput: 0.0255136Mbps
Sink 23	TotalRx: 1.6423Mb	Goodput: 0.0273717Mbps
Sink 24	TotalRx: 1.59085Mb	Goodput: 0.0265141Mbps
Sink 25	TotalRx: 1.59942Mb	Goodput: 0.0266571Mbps
Sink 26	TotalRx: 1.54797Mb	Goodput: 0.0257995Mbps
Sink 27	TotalRx: 1.59085Mb	Goodput: 0.0265141Mbps
Sink 28	TotalRx: 1.6809Mb	Goodput: 0.0280149Mbps
Sink 29	TotalRx: 1.6809Mb	Goodput: 0.0280149Mbps
Sink 30	TotalRx: 1.6809Mb	Goodput: 0.0280149Mbps
Sink 31	TotalRx: 1.6809Mb	Goodput: 0.0280149Mbps

Totals	TotalRx: 52.5666Mb	Goodput: 0.87611Mbps
